Passport,AL,DZ,AD,AO,AG,AR,AM,AU,AT,AZ,BS,BH,BD,BB,BY,BE,BZ,BJ,BT,BO,BA,BW,BR,BN,BG,BF,BI,KH,CM,CA,CV,CF,TD,CL,CN,CO,KM,CG,CD,CR,CI,HR,CU,CY,CZ,DK,DJ,DO,EC,EG,SV,GQ,ER,EE,SZ,ET,FJ,FI,FR,GA,GM,GE,DE,GH,GR,GD,GT,GN,GW,GY,HN,HK,HU,IS,IN,ID,IR,IQ,IE,IL,IT,JM,JP,JO,KZ,KE,KI,XK,KW,KG,LA,LV,LB,LS,LR,LY,LI,LT,LU,MO,MG,MW,MY,MV,ML,MT,MH,MR,MU,MX,MD,MC,MN,ME,MA,MZ,MM,NA,NR,NP,NL,NZ,NI,NE,NG,KP,MK,NO,OM,PK,PW,PS,PA,PG,PY,PE,PH,PL,PT,QA,RO,RU,RW,KN,LC,WS,SM,ST,SA,SN,RS,SL,SG,SK,SI,SB,SO,ZA,KR,SS,ES,LK,VC,SD,SR,SE,CH,SY,TW,TJ,TZ,TH,TL,TG,TO,TT,TN,TM,TV,TR,UG,UA,AE,GB,US,UY,UZ,VU,VA,VE,VN,YE,ZM,ZW,AF,DM,HT,SC
TJ,e-visa,visa required,visa required,visa required,-1,visa required,-1,e-visa,visa required,-1,e-visa,e-visa,visa on arrival (30),-1,visa free,visa required,visa required,e-visa,e-visa,visa on arrival (90),visa required,e-visa,visa required,visa required,visa required,e-visa,visa on arrival (30),visa on arrival (30),e-visa,visa required,visa on arrival,visa required,visa required,visa required,visa required,e-visa,visa on arrival (45),visa required,e-visa (90),visa required,e-visa (90),visa required,visa required (30),visa required,visa required,visa required,e-visa (90),visa required,e-visa,visa required,e-visa,e-visa,visa required,visa required,visa required,e-visa (90),visa required,visa required,visa required,e-visa (90),-1,-1,visa required,visa required,visa required,visa required,visa required,e-visa (90),visa on arrival (90),visa required,visa required,e-visa,visa required,visa required,e-visa (30),e-visa,e-visa (30),visa required,visa required,visa required,visa required,visa on arrival (30),visa required,visa on arrival,-1,e-visa (90),visa required,visa required,visa required,no admission,visa on arrival (30),visa required,visa on arrival (30),e-visa (14),visa required,visa required,visa required,visa required,visa required,visa on arrival (30),visa on arrival (90),e-visa (90),-1,visa on arrival (30),visa required,visa required,visa on arrival (90),visa on arrival,visa on arrival (60),visa required,-1,visa required,visa required,visa required,visa required,visa on arrival (30),visa required,-1,visa required,visa on arrival (150),visa required,visa required,visa on arrival (30),visa required,e-visa,visa required,visa required,visa required,e-visa,e-visa (30),visa on arrival (30),visa free,visa required,visa required,visa required,visa required,-1,visa required,visa required,visa required,visa required,-1,visa on arrival (30),e-visa,visa required,visa on arrival (90),visa required,e-visa,visa on arrival (90),visa required,visa required,visa on arrival (30),e-visa,visa required,visa required,visa required,visa required,visa required,e-visa,e-visa,visa required,e-visa (30),-1,visa required,visa required (90),visa required,visa required,visa required,visa required,-1,e-visa,visa required,visa on arrival (30),visa on arrival (15),visa required,visa required,visa required,visa required,visa on arrival (30),-1,e-visa,-1,visa required,visa required,visa required,visa required,-1,visa required,visa required,visa required,e-visa (90),visa required,e-visa,visa on arrival (90),visa required,-1,-1,-1
TZ,e-visa,visa required,visa required,-1,-1,visa required,visa required,e-visa,visa required,visa required,-1,e-visa,-1,-1,visa required,visa required,visa free,-1,e-visa,visa on arrival (90),visa required,-1,visa required,visa required,visa required,e-visa,-1,visa on arrival (30),e-visa,visa required,visa on arrival,visa required,visa required,visa required,visa required,e-visa,visa on arrival (45),visa required,visa on arrival (7),visa required,e-visa (90),visa required,visa required (30),visa required,visa required,visa required,e-visa (90),visa required,-1,visa required,e-visa,e-visa,visa required,visa required,-1,visa on arrival (90),-1,visa required,visa required,e-visa (90),-1,e-visa,visa required,-1,visa required,-1,visa required,e-visa (90),visa on arrival (90),visa required,visa required,-1,visa required,visa required,e-visa (30),e-visa,e-visa (30),visa required,visa required,visa required,visa required,visa free,visa required,e-visa,e-visa,visa free,-1,visa required,visa required,e-visa,visa on arrival (30),visa required,visa required,-1,visa required,visa required,visa required,visa required,visa required,-1,visa on arrival (90),-1,-1,visa on arrival (30),visa required,visa required,visa required,visa on arrival,-1,visa required,e-visa,visa required,e-visa,visa required,visa required,visa free,visa required,-1,visa required,visa on arrival (150),visa required,visa required,visa on arrival (30),visa required,visa on arrival,visa required,visa required,visa required,e-visa,e-visa (30),visa on arrival (30),visa required,visa required,visa required,visa required,visa required,-1,visa required,visa required,visa required,visa required,visa required,-1,-1,-1,visa on arrival (90),visa required,e-visa,visa required,visa on arrival (30),visa required,visa on arrival (30),-1,visa required,visa required,visa required,visa required,-1,e-visa,visa free,visa required,e-visa (30),-1,visa required,visa required (90),visa required,visa required,visa required,visa required,e-visa,-1,visa required,visa on arrival (30),visa on arrival (15),visa required,visa required,visa required,visa required,visa on arrival (30),visa required,-1,visa required,visa required,visa required,visa required,visa required,e-visa,-1,visa required,visa required,e-visa (90),visa required,-1,-1,visa required,-1,-1,-1
TH,e-visa,visa required,visa required,visa required,e-visa,-1,visa on arrival (120),e-visa,visa required,e-visa (30),e-visa,visa on arrival (30),visa required,-1,visa required,visa required,visa required,e-visa,e-visa,visa on arrival (90),visa required,e-visa,-1,-1,visa required,e-visa,visa on arrival (30),-1,e-visa,visa required,visa on arrival,visa required,visa required,-1,visa required,e-visa,visa on arrival (45),visa required,e-visa (90),visa required,e-visa (90),visa required,visa required (30),visa required,visa required,visa required,e-visa (90),visa free,-1,visa on arrival,e-visa,e-visa,visa required,visa required,visa required,visa on arrival (90),-1,visa required,visa required,e-visa (90),visa required,-1,visa required,visa required,visa required,visa required,visa required,e-visa (90),visa on arrival (90),visa required,visa required,-1,visa required,visa required,e-visa (30),-1,e-visa (30),visa required,visa required,visa required,visa required,visa required,-1,visa on arrival,-1,e-visa (90),-1,visa required,visa required,-1,-1,visa required,visa required,e-visa (14),visa required,visa required,visa required,visa required,visa required,-1,visa on arrival (90),visa on arrival (30),-1,visa on arrival (30),visa required,visa required,visa on arrival (90),visa on arrival,visa on arrival (60),visa required,e-visa,visa required,-1,visa required,e-visa (30),visa on arrival (30),-1,visa on arrival (90),visa required,visa on arrival (150),visa required,visa required,visa on arrival (30),visa required,e-visa,visa required,visa required,visa required,visa on arrival (30),e-visa (30),visa on arrival (30),visa free,-1,e-visa (60),visa required,-1,-1,visa required,visa required,visa on arrival (30),visa required,-1,visa on arrival (30),e-visa,visa on arrival (42),visa on arrival (90),visa required,e-visa,visa on arrival (90),visa on arrival (30),visa required,visa on arrival (30),-1,visa required,visa required,visa on arrival (90),visa required,-1,e-visa (90),e-visa,visa required,visa on arrival (30),-1,visa required,visa required (90),visa required,visa required,visa required,-1,-1,visa on arrival,-1,visa on arrival (30),visa on arrival (15),visa required,visa required,visa required,visa required,visa on arrival (30),-1,e-visa,visa required,visa required,visa required,visa required,visa required,e-visa (30),-1,visa required,visa required,-1,visa required,visa on arrival (90),e-visa,visa required,-1,-1,-1
TL,e-visa,visa required,-1,-1,e-visa,visa required,e-visa (120),e-visa,-1,visa required,e-visa,e-visa,visa on arrival (30),-1,visa required,-1,visa required,e-visa,e-visa,visa on arrival (90),-1,e-visa,visa required,visa required,-1,e-visa,visa on arrival (30),visa on arrival (30),e-visa,visa required,visa on arrival,visa required,visa required,visa required,visa required,e-visa,visa on arrival (45),visa required,e-visa (90),visa required,e-visa (90),-1,visa required (30),-1,-1,-1,e-visa (90),visa required,-1,visa on arrival (30),e-visa,e-visa,visa required,-1,-1,e-visa (90),visa required,-1,-1,e-visa (90),-1,e-visa,-1,visa required,-1,visa required,visa required,e-visa (90),visa on arrival (90),visa required,visa required,-1,-1,-1,visa required,-1,e-visa (30),visa required,visa required,visa required,-1,visa required,visa required,visa on arrival,visa required,e-visa (90),-1,-1,visa required,e-visa,visa on arrival (30),-1,visa required,e-visa (14),visa required,visa required,-1,-1,-1,visa on arrival (30),visa on arrival (90),visa on arrival (30),-1,visa on arrival (30),visa required,-1,visa required,visa on arrival,visa on arrival (60),visa required,-1,-1,e-visa,-1,visa required,visa on arrival (30),visa required,visa required,visa required,visa on arrival (150),-1,visa required,visa required,visa required,e-visa,visa required,visa required,-1,e-visa,e-visa,visa on arrival (30),visa free,visa required,visa required,visa required,visa required,visa required,-1,-1,visa required,-1,visa required,visa on arrival (30),e-visa,visa on arrival (42),visa on arrival (90),-1,visa free,visa required,visa required,visa required,visa on arrival (30),-1,-1,-1,visa required,visa required,visa required,e-visa,e-visa,-1,e-visa (30),-1,visa required,visa required (90),-1,-1,visa required,visa required,e-visa,visa on arrival,visa required,-1,visa on arrival (15),visa required,visa required,visa required,visa required,visa on arrival (30),e-visa (90),e-visa,visa required,visa required,visa required,visa required,visa required,e-visa,visa required,-1,visa required,e-visa (90),visa required,e-visa,e-visa,visa required,-1,-1,-1
TG,e-visa,visa required,visa required,visa required,e-visa,visa required,visa required,e-visa,visa required,visa required,e-visa,e-visa,visa on arrival (30),-1,visa required,visa required,visa required,-1,e-visa,visa on arrival (90),visa required,e-visa,visa required,visa required,visa required,visa free,visa on arrival (30),visa on arrival (30),e-visa,visa required,visa free,visa required,-1,visa required,visa required,e-visa,visa on arrival (45),visa on arrival,e-visa (90),visa required,-1,visa required,visa required (30),visa required,visa required,visa required,e-visa (90),visa required,-1,visa required,e-visa,e-visa,visa required,visa required,visa required,visa on arrival (90),visa required,visa required,visa required,e-visa (90),-1,e-visa,visa required,visa free,visa required,visa required,visa required,visa free,visa free,visa required,visa required,e-visa,visa required,visa required,e-visa (30),e-visa,e-visa (30),visa required,visa required,visa required,visa required,visa required,visa required,e-visa,e-visa,e-visa (90),-1,visa required,visa required,e-visa,visa on arrival (30),visa required,visa required,e-visa (14),visa free,visa required,visa required,visa required,visa required,visa on arrival (30),visa on arrival (90),e-visa (90),-1,visa on arrival (30),visa free,visa required,visa required,visa on arrival,visa on arrival (60),visa required,e-visa,visa required,e-visa,visa required,-1,visa on arrival (30),visa required,visa on arrival (90),visa required,visa on arrival (150),visa required,visa required,visa on arrival (30),visa free,visa free,visa required,visa required,visa required,e-visa,e-visa,visa on arrival (30),visa required,visa required,visa required,visa required,visa required,-1,visa required,visa required,visa required,visa required,visa required,-1,e-visa,visa on arrival (42),visa on arrival (90),visa required,e-visa,visa required,-1,visa required,visa free,-1,visa required,visa required,visa required,visa required,visa required,e-visa,e-visa,visa required,e-visa (30),-1,visa required,visa required (90),visa required,visa required,visa required,visa required,e-visa,visa on arrival,visa required,visa on arrival (30),-1,visa required,visa required,visa required,visa required,visa on arrival (30),visa required,e-visa,visa required,visa required,visa required,visa required,visa required,e-visa,visa required,visa required,visa required,e-visa (90),visa required,e-visa,e-visa,visa required,-1,-1,-1
TO,e-visa,visa required,-1,-1,e-visa,visa required,e-visa (120),e-visa,-1,visa required,-1,e-visa,-1,-1,visa required,-1,visa free,e-visa,e-visa,visa on arrival (90),-1,-1,visa required,visa required,-1,e-visa,visa on arrival (30),visa on arrival (30),e-visa,visa required,visa on arrival,visa required,visa required,-1,-1,e-visa,visa on arrival (45),visa required,e-visa (90),-1,e-visa (90),-1,visa required (30),-1,-1,-1,e-visa (90),visa free,-1,visa on arrival (30),e-visa,e-visa,visa required,-1,-1,e-visa (90),-1,-1,-1,e-visa (90),-1,e-visa,-1,visa required,-1,-1,visa required,e-visa (90),visa on arrival (90),visa required,visa required,-1,-1,-1,e-visa (30),e-visa,e-visa (30),visa required,-1,-1,-1,visa free,visa required,visa on arrival,e-visa,e-visa (90),-1,-1,visa required,e-visa,visa required,-1,visa required,-1,visa required,visa required,-1,visa free,-1,visa on arrival (30),visa on arrival (90),visa on arrival (30),-1,visa on arrival (30),visa required,-1,visa on arrival (90),visa on arrival,-1,visa required,-1,-1,e-visa,visa required,visa required,visa on arrival (30),visa required,visa required,visa on arrival,visa on arrival (150),-1,visa required,visa on arrival (30),visa required,e-visa,visa required,visa required,-1,e-visa,e-visa (30),visa on arrival (30),visa free,-1,e-visa (60),visa required,-1,visa required,-1,-1,visa required,-1,visa required,-1,-1,-1,visa on arrival (90),-1,e-visa,visa required,visa required,visa required,visa on arrival (30),-1,-1,-1,visa on arrival (90),visa required,visa required,-1,e-visa,-1,e-visa (30),-1,visa required,visa required (90),-1,-1,visa required,visa required,e-visa,-1,visa required,visa on arrival (30),visa on arrival (15),-1,visa free,visa required,visa required,visa on arrival (30),visa required,-1,visa required,visa required,-1,visa required,visa required,e-visa (30),-1,-1,visa required,e-visa (90),visa required,-1,-1,visa required,-1,-1,-1
TT,-1,visa required,-1,-1,-1,-1,e-visa (120),e-visa,-1,e-visa (30),-1,e-visa,visa on arrival (30),-1,visa required,-1,visa free,e-visa,e-visa,visa on arrival (90),-1,-1,-1,visa required,-1,e-visa,visa on arrival (30),visa on arrival (30),e-visa,visa required,visa on arrival,visa required,visa required,-1,visa required,-1,visa on arrival (45),visa required,e-visa (90),-1,e-visa (90),-1,visa required (30),-1,-1,-1,e-visa (90),visa free,-1,visa on arrival (30),-1,e-visa,visa required,-1,-1,e-visa (90),-1,-1,-1,e-visa (90),-1,e-visa,-1,-1,-1,-1,-1,e-visa (90),visa on arrival (90),-1,-1,-1,-1,-1,e-visa (30),e-visa,e-visa (30),visa required,-1,-1,-1,visa free,visa required,visa on arrival,e-visa,e-visa (90),-1,-1,visa required,e-visa,visa on arrival (30),-1,visa required,-1,visa required,visa required,-1,visa free,-1,visa on arrival (30),visa on arrival (90),-1,-1,visa on arrival (30),visa required,-1,visa required,visa on arrival,-1,-1,-1,-1,e-visa,-1,visa required,visa on arrival (30),visa required,visa required,visa required,visa on arrival (150),-1,visa required,-1,visa required,e-visa,visa required,visa required,-1,e-visa,visa free,visa on arrival (30),visa free,-1,visa required,visa required,-1,-1,-1,-1,visa required,-1,visa required,-1,-1,-1,visa on arrival (90),-1,e-visa,visa required,visa on arrival (30),-1,visa on arrival (30),-1,-1,-1,visa on arrival (90),visa required,-1,e-visa (90),e-visa,-1,e-visa (30),-1,visa required,-1,-1,-1,visa required,visa required,e-visa,-1,e-visa,visa on arrival (30),visa on arrival (15),visa required,-1,visa required,visa required,visa on arrival (30),-1,e-visa,visa required,visa required,-1,visa required,-1,-1,-1,-1,-1,e-visa (90),visa required,-1,-1,visa required,-1,-1,-1
TN,e-visa,-1,visa required,visa required,e-visa,visa required,e-visa (120),e-visa,visa required,visa required,e-visa,e-visa,visa required,-1,visa required,visa required,visa free,-1,e-visa,visa on arrival (90),visa required,e-visa,-1,visa required,visa required,visa on arrival (90),visa on arrival (30),visa on arrival (30),e-visa,visa required,visa on arrival,visa required,visa required,visa required,visa required,e-visa,visa on arrival (45),visa required,e-visa (90),visa required,-1,visa required,visa required (30),visa required,visa required,visa required,e-visa (90),visa required,-1,visa required,e-visa,-1,visa required,visa required,visa required,visa on arrival (90),-1,visa required,visa required,visa free,-1,e-visa,visa required,visa on arrival (30),visa required,visa required,visa required,visa free,visa on arrival (90),visa required,visa required,-1,visa required,visa required,visa required,visa on arrival (30),e-visa (30),visa required,visa required,visa required,visa required,visa required,-1,visa on arrival,e-visa,e-visa (90),visa required,visa required,visa required,e-visa,visa on arrival (30),visa required,visa on arrival (30),e-visa (14),visa required,visa free,visa required,visa required,visa required,visa on arrival (30),visa on arrival (90),e-visa (90),-1,visa on arrival (30),-1,visa required,visa required,-1,-1,visa required,e-visa,visa required,visa required,visa required,-1,visa on arrival (30),visa required,visa on arrival (90),visa required,visa on arrival (150),visa required,visa required,visa on arrival (30),-1,visa on arrival,visa required,visa required,visa required,e-visa,e-visa (30),visa on arrival (30),visa free,visa required,visa required,visa required,visa required,-1,visa required,visa required,visa required,visa required,visa required,-1,e-visa,visa required,visa on arrival (90),visa required,e-visa,visa required,-1,visa required,e-visa,e-visa,visa required,visa required,visa required,visa on arrival (30),-1,e-visa (30),e-visa,visa required,e-visa (30),-1,visa required,e-visa (90),visa required,visa required,visa free,visa required,visa on arrival (45),visa on arrival,visa required,visa on arrival (30),visa on arrival (15),visa required,visa required,-1,visa required,visa on arrival (30),-1,e-visa,visa required,visa required,visa required,visa required,visa required,e-visa (30),-1,visa required,visa required,e-visa (90),visa required,e-visa,e-visa,visa required,-1,-1,-1
TR,visa free,visa required,visa required,-1,-1,-1,visa on arrival (120),e-visa,visa required,-1,-1,e-visa,visa on arrival (30),-1,-1,visa required,-1,e-visa,e-visa,-1,-1,-1,-1,-1,visa required,visa on arrival (90),visa on arrival (30),visa on arrival (30),e-visa,visa required,visa on arrival,visa required,visa required,-1,visa required,-1,visa on arrival (45),visa required,e-visa (90),-1,e-visa (90),visa required,visa required (30),visa required,visa required,visa required,e-visa (90),visa free,-1,visa on arrival (30),-1,-1,visa required,visa required,-1,visa on arrival (90),-1,visa required,visa required,-1,-1,-1,visa required,visa required,visa required,visa required,-1,e-visa (90),visa on arrival (90),visa required,-1,-1,visa required,visa required,visa required,visa on arrival (30),-1,visa required,visa required,visa required,visa required,-1,-1,-1,-1,e-visa (90),visa required,-1,visa on arrival (90),-1,visa on arrival (30),visa required,visa on arrival (30),e-visa (14),visa required,visa on arrival (90),visa required,visa required,visa required,-1,visa on arrival (90),e-visa (90),-1,visa on arrival (30),visa required,visa required,visa on arrival (90),visa on arrival,-1,e-visa (180),-1,visa required,-1,-1,-1,visa on arrival (30),e-visa,visa on arrival (90),visa required,visa on arrival (150),visa required,visa required,-1,visa required,e-visa,visa required,-1,visa required,visa on arrival (30),e-visa (30),visa on arrival (30),visa free,-1,visa required,-1,-1,-1,visa required,visa required,visa on arrival (90),visa required,e-visa (15),visa on arrival (30),-1,-1,visa on arrival (90),visa required,-1,visa on arrival (90),visa on arrival (30),-1,visa on arrival (30),-1,visa required,visa required,visa required,visa on arrival (30),-1,e-visa (90),e-visa,visa required,e-visa (30),-1,visa on arrival (30),visa required (90),visa required,visa required,visa required,visa on arrival (30),-1,visa on arrival,-1,visa on arrival (30),visa on arrival (15),visa on arrival (31),-1,-1,visa required,visa on arrival (30),-1,e-visa,-1,visa required,visa required,visa required,-1,-1,-1,visa required,-1,e-visa (90),visa required,visa on arrival (90),visa on arrival (90),visa required,-1,-1,-1
TM,e-visa,visa required,visa required,visa required,-1,visa required,visa required,e-visa,visa required,e-visa (30),e-visa,e-visa,visa on arrival (30),-1,visa required,visa required,visa required,e-visa,e-visa,visa on arrival (90),visa required,e-visa,visa required,visa required,visa required,e-visa,visa on arrival (30),visa on arrival (30),e-visa,visa required,visa on arrival,visa required,visa required,visa required,visa required,e-visa,visa on arrival (45),visa required,e-visa (90),visa required,e-visa (90),visa required,visa required (30),visa required,visa required,visa required,e-visa (90),visa required,-1,visa required,e-visa,e-visa,visa required,visa required,visa required,e-visa (90),visa required,visa required,visa required,e-visa (90),-1,-1,visa required,visa required,visa required,visa required,visa required,e-visa (90),visa on arrival (90),visa required,visa required,e-visa,visa required,visa required,visa required,e-visa,e-visa (30),visa required,visa required,visa required,visa required,visa on arrival (30),visa required,visa on arrival,e-visa,e-visa (90),visa required,visa required,visa required,e-visa,visa on arrival (30),visa required,visa on arrival (30),e-visa (14),visa required,visa required,visa required,visa required,visa required,visa on arrival (30),visa on arrival (90),e-visa (90),-1,visa on arrival (30),visa required,visa required,visa on arrival (90),visa on arrival,visa on arrival (60),visa required,e-visa,visa required,visa required,visa required,visa required,visa on arrival (30),visa required,-1,visa required,visa on arrival (150),visa required,visa required,visa on arrival (30),visa required,e-visa,visa required,visa required,visa required,e-visa,e-visa,visa on arrival (30),visa free,visa required,visa required,visa required,visa required,-1,visa required,visa required,visa required,visa required,visa required,visa on arrival (30),e-visa,visa required,visa on arrival (90),visa required,e-visa,visa required,visa required,visa required,visa on arrival (30),e-visa,visa required,visa required,visa required,visa required,visa required,e-visa,e-visa,visa required,e-visa (30),-1,visa required,visa required (90),visa required,visa required,visa required,visa required,visa on arrival (45),e-visa,visa required,visa on arrival (30),visa on arrival (15),visa required,visa required,visa required,-1,visa on arrival (30),visa required,e-visa,visa required,visa required,visa required,visa required,visa required,e-visa,visa required,visa required,visa required,e-visa (90),visa required,e-visa,visa on arrival (90),visa required,-1,-1,-1
TV,e-visa,visa required,-1,-1,-1,visa required,e-visa (120),e-visa,-1,visa required,-1,e-visa,visa on arrival (30),-1,visa required,-1,visa free,e-visa,e-visa,visa on arrival (90),-1,-1,visa required,visa required,-1,e-visa,visa on arrival (30),visa on arrival (30),e-visa,visa required,visa on arrival,visa required,visa required,visa required,visa required,e-visa,visa on arrival (45),visa required,e-visa (90),-1,e-visa (90),-1,visa required (30),-1,-1,-1,e-visa (90),visa free,-1,visa on arrival (30),-1,e-visa,visa required,-1,-1,e-visa (90),-1,-1,visa free,e-visa (90),-1,e-visa,-1,visa required,-1,-1,-1,e-visa (90),visa on arrival (90),visa required,-1,-1,-1,-1,e-visa (30),e-visa,e-visa (30),visa required,-1,visa required,-1,visa free,visa required,visa on arrival,e-visa,e-visa (90),-1,-1,visa required,e-visa,visa on arrival (30),-1,visa required,-1,visa required,visa required,-1,-1,-1,visa on arrival (30),visa on arrival (90),-1,-1,visa on arrival (30),visa required,-1,visa on arrival (90),visa on arrival,-1,visa required,-1,-1,e-visa,visa required,visa required,visa on arrival (30),visa required,visa required,visa on arrival,visa on arrival (150),-1,visa required,-1,visa required,e-visa,visa required,visa required,-1,e-visa,e-visa,visa on arrival (30),visa free,-1,e-visa (60),visa required,-1,-1,-1,-1,visa required,-1,visa required,e-visa,-1,-1,visa on arrival (90),-1,e-visa,visa required,visa on arrival (30),visa required,visa on arrival (30),-1,-1,-1,visa on arrival (90),visa required,visa required,-1,e-visa,-1,e-visa (30),-1,visa required,visa required (90),-1,-1,visa required,-1,e-visa,-1,e-visa,visa on arrival (30),visa on arrival (15),visa on arrival (31),visa free,visa required,visa required,-1,visa required,e-visa,visa required,visa required,-1,visa required,visa required,e-visa,-1,-1,visa required,e-visa (90),visa required,-1,-1,visa required,-1,-1,-1
UG,e-visa,visa required,visa required,visa required,-1,visa required,visa required,e-visa,visa required,visa required,-1,e-visa,visa on arrival (30),-1,visa required,visa required,visa free,-1,e-visa,visa on arrival (90),visa required,-1,visa required,visa required,visa required,e-visa,-1,visa on arrival (30),e-visa,visa required,visa on arrival,visa required,visa required,visa required,visa required,e-visa,visa on arrival (45),visa required,e-visa (90),visa required,e-visa (90),visa required,visa required (30),visa required,visa required,visa required,e-visa (90),visa required,-1,visa required,e-visa,e-visa,visa free,visa required,-1,visa on arrival (90),-1,visa required,visa required,e-visa (90),-1,e-visa,visa required,-1,visa required,-1,visa required,e-visa (90),visa on arrival (90),visa required,visa required,-1,visa required,visa required,e-visa (30),e-visa,e-visa (30),visa required,visa required,visa required,visa required,visa free,visa required,e-visa,e-visa,visa free,-1,visa required,visa required,e-visa,visa on arrival (30),visa required,visa required,-1,visa required,visa required,visa required,visa required,visa required,visa on arrival (30),visa on arrival (90),-1,-1,visa on arrival (30),visa required,visa required,visa required,visa on arrival,visa required,visa required,e-visa,visa required,e-visa,visa required,visa required,visa on arrival (30),e-visa,visa on arrival (90),visa required,visa on arrival (150),visa required,visa required,visa on arrival (30),visa required,visa on arrival,visa required,visa required,visa required,e-visa,e-visa,visa on arrival (30),visa required,visa required,visa required,visa required,visa required,-1,visa required,visa required,visa required,visa required,visa required,-1,-1,visa on arrival (42),visa on arrival (90),visa required,e-visa,visa required,visa on arrival (30),visa required,visa on arrival (30),-1,visa required,visa required,visa required,visa on arrival (30),e-visa,e-visa,visa free,visa required,e-visa (30),-1,visa required,visa required (90),visa required,visa required,visa required,visa required,e-visa,-1,visa required,visa on arrival (30),visa on arrival (15),visa required,visa required,visa required,visa required,visa on arrival (30),visa required,-1,visa required,visa required,visa required,visa required,visa required,e-visa,-1,visa required,visa required,e-visa (90),visa required,-1,-1,visa required,-1,-1,-1
UA,-1,visa required,-1,visa required,-1,-1,visa free,e-visa,-1,-1,e-visa,visa on arrival (30),visa on arrival (30),-1,visa free,-1,visa required,e-visa,e-visa,visa on arrival (90),-1,e-visa,-1,-1,-1,e-visa,visa on arrival (30),visa on arrival (30),e-visa,visa required,visa on arrival,visa required,visa required,-1,visa required,-1,visa on arrival (45),visa required,e-visa (90),-1,e-visa (90),-1,visa required (30),-1,-1,-1,e-visa (90),visa free,-1,visa on arrival (30),-1,e-visa,visa required,-1,-1,visa on arrival (90),-1,-1,-1,e-visa (90),-1,-1,-1,visa required,-1,-1,-1,e-visa (90),visa on arrival (90),visa required,-1,-1,-1,-1,e-visa (30),visa on arrival (30),e-visa (30),visa required,-1,-1,-1,-1,visa required,visa on arrival,-1,e-visa (90),-1,-1,visa on arrival (90),-1,visa on arrival (30),-1,visa on arrival (30),e-visa (14),visa required,visa required,-1,-1,-1,visa on arrival (30),visa on arrival (90),e-visa (90),-1,visa on arrival (30),visa required,-1,-1,visa on arrival,-1,e-visa (180),-1,-1,visa required,-1,visa required,-1,e-visa,-1,visa required,visa on arrival (150),-1,visa required,-1,visa required,e-visa,visa required,-1,-1,visa on arrival (30),e-visa,visa on arrival (30),visa free,-1,visa required,-1,-1,visa required,-1,-1,visa on arrival (90),-1,-1,visa on arrival (30),-1,visa required,visa on arrival (90),-1,e-visa,visa on arrival (90),visa on arrival (30),-1,visa on arrival (30),e-visa,-1,-1,visa required,visa required,visa required,e-visa,e-visa,-1,e-visa (30),-1,visa required,visa required (90),-1,-1,visa required,visa required,-1,visa on arrival,-1,visa on arrival (30),visa on arrival (15),visa on arrival (31),visa required,-1,visa required,visa on arrival (30),-1,e-visa,-1,-1,visa required,visa required,-1,visa free,-1,-1,visa required,e-visa (90),visa required,visa on arrival (90),visa on arrival (90),visa required,-1,-1,-1
AE,-1,visa required,-1,-1,-1,-1,-1,e-visa,-1,-1,-1,visa free,visa on arrival (30),-1,-1,-1,visa required,e-visa (30),e-visa,visa on arrival (90),-1,-1,-1,-1,-1,visa free,visa on arrival (30),visa on arrival (30),e-visa,e-visa (180),visa on arrival,visa on arrival (90),visa free,-1,-1,-1,visa on arrival (45),visa on arrival (30),e-visa (30),-1,e-visa (90),-1,-1,-1,-1,-1,e-visa (90),visa free,-1,-1,-1,-1,visa required,-1,visa required,visa on arrival (90),-1,-1,-1,e-visa (90),-1,-1,-1,visa required,-1,-1,-1,visa on arrival (90),visa on arrival (90),visa on arrival (30),-1,-1,-1,-1,visa on arrival (30),visa on arrival (30),e-visa (30),visa on arrival (30),-1,-1,-1,visa on arrival (30),-1,-1,-1,e-visa (90),-1,-1,visa free,-1,visa on arrival (30),-1,-1,e-visa (14),visa required,visa required,-1,-1,-1,-1,visa on arrival (90),e-visa (30),-1,visa on arrival (30),-1,-1,visa on arrival (90),visa on arrival,-1,-1,-1,-1,-1,-1,-1,-1,visa required,visa on arrival (90),visa free,visa on arrival (150),-1,e-visa (90),-1,visa required,e-visa,visa required,-1,-1,visa free,e-visa (30),visa on arrival (30),visa free,-1,visa required,-1,-1,-1,-1,-1,visa free,-1,-1,visa on arrival (30),-1,-1,visa on arrival (90),-1,-1,visa free,-1,-1,visa on arrival (30),-1,-1,-1,-1,visa on arrival (30),-1,-1,e-visa,-1,e-visa (30),-1,visa free,visa required (90),-1,-1,visa free,e-visa (30),-1,visa on arrival,-1,visa on arrival (30),visa on arrival (15),-1,visa required,-1,visa required,visa on arrival (30),-1,e-visa,-1,-1,e-visa (180),visa required,-1,-1,-1,-1,visa required,e-visa (90),visa on arrival (90),-1,visa on arrival (90),visa required,-1,-1,-1
