Passport,Destination,Requirement
LVA,MUS,-1
LVA,MEX,-1
LVA,MDA,-1
LVA,MCO,visa free
LVA,MNG,-1
LVA,MNE,-1
LVA,MAR,-1
LVA,MOZ,visa on arrival (30)
LVA,MMR,e-visa
LVA,NAM,visa on arrival (90)
LVA,NRU,visa required
LVA,NPL,visa on arrival (150)
LVA,NLD,visa free
LVA,NZL,e-visa (90)
LVA,NIC,-1
LVA,NER,visa required
LVA,NGA,e-visa
LVA,PRK,visa required
LVA,MKD,-1
LVA,NOR,visa free
LVA,OMN,visa on arrival (30)
LVA,PAK,e-visa
LVA,PLW,-1
LVA,PSE,visa free
LVA,PAN,-1
LVA,PNG,e-visa (60)
LVA,PRY,-1
LVA,PER,-1
LVA,PHL,-1
LVA,POL,visa free
LVA,PRT,visa free
LVA,QAT,visa on arrival (90)
LVA,ROU,visa free
LVA,RUS,e-visa (15)
LVA,RWA,visa on arrival (30)
LVA,KNA,-1
LVA,LCA,-1
LVA,WSM,-1
LVA,SMR,visa free
LVA,STP,-1
LVA,SAU,visa on arrival (90)
LVA,SEN,-1
LVA,SRB,-1
LVA,SLE,visa on arrival (30)
LVA,SGP,-1
LVA,SVK,visa free
LVA,SVN,visa free
LVA,SLB,-1
LVA,SOM,visa on arrival (30)
LVA,ZAF,visa required
LVA,KOR,-1
LVA,SSD,e-visa
LVA,ESP,visa free
LVA,LKA,e-visa (30)
LVA,VCT,-1
LVA,SDN,visa required
LVA,SUR,visa required (90)
LVA,SWE,visa free
LVA,CHE,visa free
LVA,SYR,visa required
LVA,TWN,-1
LVA,TJK,-1
LVA,TZA,visa on arrival
LVA,THA,-1
LVA,TLS,-1
LVA,TGO,visa on arrival (15)
LVA,TON,-1
LVA,TTO,-1
LVA,TUN,-1
LVA,TKM,visa required
LVA,TUV,-1
LVA,TUR,-1
LVA,UGA,e-visa
LVA,UKR,-1
LVA,ARE,-1
LVA,GBR,-1
LVA,USA,e-visa (90)
LVA,URY,-1
LVA,UZB,-1
LVA,VUT,-1
LVA,VAT,visa free
LVA,VEN,-1
LVA,VNM,e-visa (90)
LVA,YEM,visa required
LVA,ZMB,-1
LVA,ZWE,visa on arrival (90)
LVA,AFG,visa required
LVA,DMA,-1
LVA,HTI,-1
LVA,SYC,-1
LBN,ALB,e-visa
LBN,DZA,visa required
LBN,AND,visa required
LBN,AGO,visa required
LBN,ATG,e-visa
LBN,ARG,visa required
LBN,ARM,visa on arrival (120)
LBN,AUS,e-visa
LBN,AUT,visa required
LBN,AZE,visa required
LBN,BHS,e-visa
LBN,BHR,e-visa
LBN,BGD,visa required
LBN,BRB,-1
LBN,BLR,visa required
LBN,BEL,visa required
LBN,BLZ,visa required
LBN,BEN,e-visa
LBN,BTN,e-visa
LBN,BOL,visa on arrival (90)
LBN,BIH,visa required
LBN,BWA,e-visa
LBN,BRA,visa required
LBN,BRN,visa required
LBN,BGR,visa required
LBN,BFA,e-visa
LBN,BDI,visa on arrival (30)
LBN,KHM,visa on arrival (30)
LBN,CMR,e-visa
LBN,CAN,visa required
LBN,CPV,visa on arrival
LBN,CAF,visa required
LBN,TCD,visa required
LBN,CHL,visa required
LBN,CHN,visa required
LBN,COL,e-visa
LBN,COM,visa on arrival (45)
LBN,COG,visa required
LBN,COD,e-visa (90)
LBN,CRI,visa required
LBN,CIV,e-visa (90)
LBN,HRV,visa required
LBN,CUB,visa required (90)
LBN,CYP,visa required
LBN,CZE,visa required
LBN,DNK,visa required
LBN,DJI,visa on arrival (90)
LBN,DOM,visa required
LBN,ECU,-1
LBN,EGY,visa required
LBN,SLV,e-visa
LBN,GNQ,e-visa
LBN,ERI,visa required
LBN,EST,visa required
LBN,SWZ,visa required
LBN,ETH,visa on arrival (90)
LBN,FJI,visa required
LBN,FIN,visa required
LBN,FRA,visa required
LBN,GAB,e-visa (90)
LBN,GMB,visa required
LBN,GEO,-1
LBN,DEU,visa required
LBN,GHA,visa required
LBN,GRC,visa required
LBN,GRD,visa required
LBN,GTM,visa required
LBN,GIN,e-visa (90)
LBN,GNB,visa on arrival (90)
LBN,GUY,visa required
LBN,HND,visa required
LBN,HKG,e-visa
LBN,HUN,visa required
LBN,ISL,visa required
LBN,IND,visa required
LBN,IDN,e-visa
LBN,IRN,-1
LBN,IRQ,visa on arrival (30)
LBN,IRL,visa required
LBN,ISR,visa required
LBN,ITA,visa required
LBN,JAM,visa required
LBN,JPN,visa required
LBN,JOR,-1
LBN,KAZ,e-visa
LBN,KEN,e-visa (90)
LBN,KIR,visa required
LBN,XKX,visa required
LBN,KWT,visa required
LBN,KGZ,e-visa
LBN,LAO,visa on arrival (30)
LBN,LVA,visa required
LBN,LBN,-1
LBN,LSO,e-visa (14)
LBN,LBR,visa required
LBN,LBY,e-visa
LBN,LIE,visa required
LBN,LTU,visa required
LBN,LUX,visa required
LBN,MAC,-1
LBN,MDG,visa on arrival (90)
LBN,MWI,e-visa (90)
LBN,MYS,-1
LBN,MDV,visa on arrival (30)
LBN,MLI,visa required
LBN,MLT,visa required
LBN,MHL,visa required
LBN,MRT,visa on arrival
LBN,MUS,visa on arrival (60)
LBN,MEX,visa required
LBN,MDA,e-visa
LBN,MCO,visa required
LBN,MNG,visa required
LBN,MNE,visa required
LBN,MAR,visa required
LBN,MOZ,visa on arrival (30)
LBN,MMR,visa required
LBN,NAM,visa required
LBN,NRU,visa required
LBN,NPL,visa on arrival (150)
LBN,NLD,visa required
LBN,NZL,visa required
LBN,NIC,visa required
LBN,NER,visa required
LBN,NGA,e-visa
LBN,PRK,visa required
LBN,MKD,visa required
LBN,NOR,visa required
LBN,OMN,visa on arrival (30)
LBN,PAK,e-visa
LBN,PLW,visa on arrival (30)
LBN,PSE,visa free
LBN,PAN,visa required
LBN,PNG,e-visa
LBN,PRY,visa required
LBN,PER,visa required
LBN,PHL,visa required
LBN,POL,visa required
LBN,PRT,visa required
LBN,QAT,visa on arrival (30)
LBN,ROU,visa required
LBN,RUS,visa required
LBN,RWA,-1
LBN,KNA,e-visa
LBN,LCA,visa required
LBN,WSM,visa on arrival (90)
LBN,SMR,visa required
LBN,STP,e-visa
LBN,SAU,visa required
LBN,SEN,visa required
LBN,SRB,visa required
LBN,SLE,visa on arrival (30)
LBN,SGP,e-visa
LBN,SVK,visa required
LBN,SVN,visa required
LBN,SLB,visa required
LBN,SOM,visa required
LBN,ZAF,visa required
LBN,KOR,e-visa
LBN,SSD,e-visa
LBN,ESP,visa required
LBN,LKA,e-visa (30)
LBN,VCT,visa required
LBN,SDN,visa required
LBN,SUR,visa required (90)
LBN,SWE,visa required
LBN,CHE,visa required
LBN,SYR,visa free
LBN,TWN,visa required
LBN,TJK,visa on arrival (45)
LBN,TZA,e-visa
LBN,THA,e-visa
LBN,TLS,visa on arrival (30)
LBN,TGO,visa on arrival (15)
LBN,TON,visa required
LBN,TTO,visa required
LBN,TUN,visa required
LBN,TKM,visa required
LBN,TUV,visa on arrival (30)
LBN,TUR,-1
LBN,UGA,e-visa
LBN,UKR,visa required
LBN,ARE,visa required
LBN,GBR,visa required
LBN,USA,visa required
LBN,URY,visa required
LBN,UZB,e-visa (30)
LBN,VUT,visa required
LBN,VAT,visa required
LBN,VEN,visa required
LBN,VNM,e-visa (90)
LBN,YEM,visa required
LBN,ZMB,e-visa
LBN,ZWE,e-visa
LBN,AFG,visa required
LBN,DMA,-1
LBN,HTI,-1
LBN,SYC,-1
LSO,ALB,e-visa
LSO,DZA,visa required
LSO,AND,visa required
LSO,AGO,-1
LSO,ATG,-1
LSO,ARG,visa required
LSO,ARM,visa required
LSO,AUS,e-visa
LSO,AUT,visa required
LSO,AZE,visa required
LSO,BHS,-1
LSO,BHR,e-visa
LSO,BGD,-1
LSO,BRB,-1
LSO,BLR,visa required
LSO,BEL,visa required
LSO,BLZ,visa free
LSO,BEN,-1
LSO,BTN,e-visa
LSO,BOL,visa on arrival (90)
LSO,BIH,visa required
LSO,BWA,-1
LSO,BRA,visa required
LSO,BRN,visa required
LSO,BGR,visa required
LSO,BFA,e-visa
LSO,BDI,visa on arrival (30)
LSO,KHM,visa on arrival (30)
LSO,CMR,e-visa
LSO,CAN,visa required
LSO,CPV,visa on arrival
LSO,CAF,visa required
LSO,TCD,visa required
LSO,CHL,visa required
LSO,CHN,visa required
LSO,COL,e-visa
LSO,COM,visa on arrival (45)
LSO,COG,visa required
LSO,COD,e-visa (90)
LSO,CRI,visa required
LSO,CIV,e-visa (90)
LSO,HRV,visa required
LSO,CUB,visa required (90)
LSO,CYP,visa required
LSO,CZE,visa required
LSO,DNK,visa required
LSO,DJI,visa on arrival (90)
LSO,DOM,visa required
LSO,ECU,-1
LSO,EGY,visa required
LSO,SLV,e-visa
LSO,GNQ,e-visa
LSO,ERI,visa required
LSO,EST,visa required
LSO,SWZ,-1
LSO,ETH,visa on arrival (90)
LSO,FJI,-1
LSO,FIN,visa required
LSO,FRA,visa required
LSO,GAB,e-visa (90)
LSO,GMB,-1
LSO,GEO,e-visa
LSO,DEU,visa required
LSO,GHA,-1
LSO,GRC,visa required
LSO,GRD,-1
LSO,GTM,visa required
LSO,GIN,e-visa (90)
LSO,GNB,visa on arrival (90)
LSO,GUY,-1
LSO,HND,visa required
LSO,HKG,-1
LSO,HUN,visa required
LSO,ISL,visa required
LSO,IND,e-visa (30)
LSO,IDN,e-visa
LSO,IRN,visa on arrival (30)
LSO,IRQ,visa required
LSO,IRL,-1
LSO,ISR,-1
LSO,ITA,visa required
LSO,JAM,visa free
LSO,JPN,-1
LSO,JOR,visa on arrival
LSO,KAZ,e-visa
LSO,KEN,e-visa (90)
LSO,KIR,-1
LSO,XKX,-1
LSO,KWT,visa required
LSO,KGZ,e-visa
LSO,LAO,visa required
LSO,LVA,visa required
LSO,LBN,visa required
LSO,LSO,-1
LSO,LBR,visa required
LSO,LBY,e-visa
LSO,LIE,visa required
LSO,LTU,visa required
LSO,LUX,visa required
LSO,MAC,visa on arrival (30)
LSO,MDG,visa on arrival (90)
LSO,MWI,-1
LSO,MYS,-1
LSO,MDV,visa on arrival (30)
LSO,MLI,visa required
LSO,MLT,visa required
LSO,MHL,visa required
LSO,MRT,visa on arrival
LSO,MUS,-1
LSO,MEX,visa required
LSO,MDA,e-visa
LSO,MCO,visa required
LSO,MNG,e-visa
LSO,MNE,visa required
LSO,MAR,visa required
LSO,MOZ,visa on arrival (30)
LSO,MMR,visa required
LSO,NAM,-1
LSO,NRU,visa required
LSO,NPL,visa on arrival (150)
LSO,NLD,visa required
LSO,NZL,visa required
LSO,NIC,visa on arrival (30)
LSO,NER,visa required
LSO,NGA,visa on arrival
LSO,PRK,visa required
LSO,MKD,visa required
LSO,NOR,visa required
LSO,OMN,e-visa
LSO,PAK,e-visa
LSO,PLW,visa on arrival (30)
LSO,PSE,visa free
LSO,PAN,visa required
LSO,PNG,e-visa (30)
LSO,PRY,visa required
LSO,PER,visa required
LSO,PHL,-1
LSO,POL,visa required
LSO,PRT,visa required
LSO,QAT,visa required
LSO,ROU,visa required
LSO,RUS,visa required
LSO,RWA,-1
LSO,KNA,-1
LSO,LCA,-1
LSO,WSM,visa on arrival (90)
LSO,SMR,visa required
LSO,STP,e-visa
LSO,SAU,visa required
LSO,SEN,visa on arrival (30)
LSO,SRB,visa required
LSO,SLE,visa on arrival (30)
LSO,SGP,-1
LSO,SVK,visa required
LSO,SVN,visa required
LSO,SLB,visa required
LSO,SOM,visa required
LSO,ZAF,-1
LSO,KOR,e-visa (60)
LSO,SSD,e-visa
LSO,ESP,visa required
LSO,LKA,e-visa (30)
LSO,VCT,-1
LSO,SDN,visa required
LSO,SUR,visa required (90)
LSO,SWE,visa required
LSO,CHE,visa required
LSO,SYR,visa required
LSO,TWN,visa required
LSO,TJK,e-visa
LSO,TZA,-1
LSO,THA,visa required
LSO,TLS,visa on arrival (30)
LSO,TGO,visa on arrival (15)
LSO,TON,visa required
LSO,TTO,visa free
LSO,TUN,visa required
LSO,TKM,visa required
LSO,TUV,visa on arrival (30)
LSO,TUR,visa required
LSO,UGA,-1
LSO,UKR,visa required
LSO,ARE,visa required
LSO,GBR,visa required
LSO,USA,visa required
LSO,URY,visa required
LSO,UZB,e-visa
LSO,VUT,-1
LSO,VAT,visa required
LSO,VEN,visa required
LSO,VNM,e-visa (90)
LSO,YEM,visa required
LSO,ZMB,-1
LSO,ZWE,-1
LSO,AFG,visa required
LSO,DMA,-1
LSO,HTI,-1
LSO,SYC,-1
LBR,ALB,e-visa
LBR,DZA,visa required
LBR,AND,visa required
LBR,AGO,visa required
LBR,ATG,e-visa
LBR,ARG,visa required
LBR,ARM,visa required
LBR,AUS,e-visa
LBR,AUT,visa required
LBR,AZE,visa required
LBR,BHS,e-visa
LBR,BHR,e-visa
LBR,BGD,visa on arrival (30)
LBR,BRB,-1
LBR,BLR,visa required
LBR,BEL,visa required
LBR,BLZ,visa required
LBR,BEN,-1
LBR,BTN,e-visa
LBR,BOL,visa on arrival (90)
LBR,BIH,visa required
LBR,BWA,e-visa
LBR,BRA,visa required
LBR,BRN,visa required
LBR,BGR,visa required
LBR,BFA,visa free
LBR,BDI,visa on arrival (30)
LBR,KHM,visa on arrival (30)
LBR,CMR,e-visa
LBR,CAN,visa required
LBR,CPV,visa free
LBR,CAF,-1
LBR,TCD,visa required
LBR,CHL,visa required
LBR,CHN,visa required
LBR,COL,e-visa
LBR,COM,visa on arrival (45)
LBR,COG,visa required
LBR,COD,e-visa (90)
LBR,CRI,visa required
LBR,CIV,-1
LBR,HRV,visa required
LBR,CUB,visa required (90)
LBR,CYP,visa required
LBR,CZE,visa required
LBR,DNK,visa required
LBR,DJI,visa on arrival (90)
LBR,DOM,visa required
LBR,ECU,-1
LBR,EGY,visa required
LBR,SLV,e-visa
LBR,GNQ,e-visa
LBR,ERI,visa required
LBR,EST,visa required
LBR,SWZ,visa required
LBR,ETH,visa on arrival (90)
LBR,FJI,visa required
LBR,FIN,visa required
LBR,FRA,visa required
LBR,GAB,e-visa (90)
LBR,GMB,visa free
LBR,GEO,e-visa
LBR,DEU,visa required
LBR,GHA,visa free
LBR,GRC,visa required
LBR,GRD,visa required
LBR,GTM,visa required
LBR,GIN,visa free
LBR,GNB,visa free
LBR,GUY,visa required
LBR,HND,visa required
LBR,HKG,e-visa
LBR,HUN,visa required
LBR,ISL,visa required
LBR,IND,e-visa (30)
LBR,IDN,e-visa
LBR,IRN,visa on arrival (30)
LBR,IRQ,visa required
LBR,IRL,visa required
LBR,ISR,visa required
LBR,ITA,visa required
LBR,JAM,visa required
LBR,JPN,visa required
LBR,JOR,visa required
LBR,KAZ,e-visa
LBR,KEN,e-visa (90)
LBR,KIR,visa required
LBR,XKX,visa required
LBR,KWT,visa required
LBR,KGZ,e-visa
LBR,LAO,visa required
LBR,LVA,visa required
LBR,LBN,visa required
LBR,LSO,e-visa (14)
LBR,LBR,-1
LBR,LBY,e-visa
LBR,LIE,visa required
LBR,LTU,visa required
LBR,LUX,visa required
LBR,MAC,visa on arrival (30)
LBR,MDG,visa on arrival (90)
LBR,MWI,e-visa (90)
LBR,MYS,e-visa (14)
LBR,MDV,visa on arrival (30)
LBR,MLI,visa free
LBR,MLT,visa required
LBR,MHL,visa required
LBR,MRT,visa on arrival
LBR,MUS,visa on arrival (60)
LBR,MEX,visa required
LBR,MDA,e-visa
LBR,MCO,visa required
LBR,MNG,visa required
LBR,MNE,visa required
LBR,MAR,visa required
LBR,MOZ,visa on arrival (30)
LBR,MMR,visa required
LBR,NAM,visa on arrival (90)
LBR,NRU,visa required
LBR,NPL,visa required
LBR,NLD,visa required
LBR,NZL,visa required
LBR,NIC,visa required
LBR,NER,visa free
LBR,NGA,visa free
LBR,PRK,visa required
LBR,MKD,visa required
LBR,NOR,visa required
LBR,OMN,e-visa
LBR,PAK,e-visa
LBR,PLW,visa on arrival (30)
LBR,PSE,visa required
LBR,PAN,visa required
LBR,PNG,e-visa
LBR,PRY,visa required
LBR,PER,visa required
LBR,PHL,-1
LBR,POL,visa required
LBR,PRT,visa required
LBR,QAT,visa required
LBR,ROU,visa required
LBR,RUS,visa required
LBR,RWA,e-visa
LBR,KNA,e-visa
LBR,LCA,visa required
LBR,WSM,visa on arrival (90)
LBR,SMR,visa required
LBR,STP,e-visa
LBR,SAU,visa required
LBR,SEN,-1
LBR,SRB,visa required
LBR,SLE,visa free
LBR,SGP,-1
LBR,SVK,visa required
LBR,SVN,visa required
LBR,SLB,visa required
LBR,SOM,visa required
LBR,ZAF,e-visa
LBR,KOR,e-visa
LBR,SSD,e-visa
LBR,ESP,visa required
LBR,LKA,e-visa (30)
LBR,VCT,-1
LBR,SDN,visa required
LBR,SUR,visa required (90)
LBR,SWE,visa required
LBR,CHE,visa required
LBR,SYR,visa required
LBR,TWN,visa required
LBR,TJK,e-visa
LBR,TZA,visa on arrival
LBR,THA,visa required
LBR,TLS,visa on arrival (30)
LBR,TGO,visa free
LBR,TON,visa required
LBR,TTO,visa required
LBR,TUN,visa required
LBR,TKM,visa required
LBR,TUV,visa on arrival (30)
LBR,TUR,visa required
LBR,UGA,e-visa
LBR,UKR,visa required
LBR,ARE,visa required
LBR,GBR,visa required
LBR,USA,visa required
LBR,URY,visa required
LBR,UZB,e-visa
LBR,VUT,visa required
LBR,VAT,visa required
LBR,VEN,visa required
LBR,VNM,e-visa (90)
LBR,YEM,visa required
LBR,ZMB,e-visa
LBR,ZWE,e-visa
LBR,AFG,visa required
LBR,DMA,-1
LBR,HTI,-1
LBR,SYC,-1
LBY,ALB,e-visa
LBY,DZA,-1
LBY,AND,visa required
LBY,AGO,visa required
LBY,ATG,e-visa
LBY,ARG,visa required
LBY,ARM,visa required
LBY,AUS,e-visa
LBY,AUT,visa required
LBY,AZE,visa required
LBY,BHS,e-visa
LBY,BHR,e-visa
LBY,BGD,visa required
LBY,BRB,visa required
LBY,BLR,visa required
LBY,BEL,visa required
LBY,BLZ,visa required
LBY,BEN,-1
LBY,BTN,e-visa
LBY,BOL,visa on arrival (90)
LBY,BIH,visa required
LBY,BWA,e-visa
LBY,BRA,visa required
LBY,BRN,visa required
LBY,BGR,visa required
LBY,BFA,visa on arrival (90)
LBY,BDI,visa on arrival (30)
LBY,KHM,visa on arrival (30)
LBY,CMR,e-visa
LBY,CAN,visa required
LBY,CPV,visa on arrival
LBY,CAF,visa required
LBY,TCD,visa required
LBY,CHL,visa required
LBY,CHN,visa required
LBY,COL,e-visa
LBY,COM,visa on arrival (45)
LBY,COG,visa required
LBY,COD,e-visa (90)
LBY,CRI,visa required
LBY,CIV,e-visa (90)
LBY,HRV,visa required
LBY,CUB,visa required (90)
LBY,CYP,visa required
LBY,CZE,visa required
LBY,DNK,visa required
LBY,DJI,visa on arrival (90)
LBY,DOM,visa required
LBY,ECU,e-visa
LBY,EGY,visa required
LBY,SLV,e-visa
LBY,GNQ,e-visa
LBY,ERI,visa required
LBY,EST,visa required
LBY,SWZ,visa required
LBY,ETH,e-visa (90)
LBY,FJI,visa required
LBY,FIN,visa required
LBY,FRA,visa required
LBY,GAB,e-visa (90)
LBY,GMB,-1
LBY,GEO,e-visa
LBY,DEU,visa required
LBY,GHA,visa on arrival (30)
LBY,GRC,visa required
LBY,GRD,visa required
LBY,GTM,visa required
LBY,GIN,e-visa (90)
LBY,GNB,visa on arrival (90)
LBY,GUY,visa required
LBY,HND,visa required
LBY,HKG,e-visa
LBY,HUN,visa required
LBY,ISL,visa required
LBY,IND,visa required
LBY,IDN,e-visa
LBY,IRN,visa on arrival (30)
LBY,IRQ,visa required
LBY,IRL,visa required
LBY,ISR,visa required
LBY,ITA,visa required
LBY,JAM,visa required
LBY,JPN,visa required
LBY,JOR,visa required
LBY,KAZ,visa required
LBY,KEN,e-visa (90)
LBY,KIR,visa required
LBY,XKX,visa required
LBY,KWT,visa required
LBY,KGZ,e-visa
LBY,LAO,visa required
LBY,LVA,visa required
LBY,LBN,visa on arrival (30)
LBY,LSO,e-visa (14)
LBY,LBR,visa required
LBY,LBY,-1
LBY,LIE,visa required
LBY,LTU,visa required
LBY,LUX,visa required
LBY,MAC,visa on arrival (30)
LBY,MDG,visa on arrival (90)
LBY,MWI,e-visa (90)
LBY,MYS,-1
LBY,MDV,visa on arrival (30)
LBY,MLI,visa required
LBY,MLT,visa required
LBY,MHL,visa required
LBY,MRT,-1
LBY,MUS,visa required
LBY,MEX,visa required
LBY,MDA,e-visa
LBY,MCO,visa required
LBY,MNG,visa required
LBY,MNE,visa required
LBY,MAR,visa required
LBY,MOZ,visa on arrival (30)
LBY,MMR,visa required
LBY,NAM,visa required
LBY,NRU,visa required
LBY,NPL,visa on arrival (150)
LBY,NLD,visa required
LBY,NZL,visa required
LBY,NIC,visa required
LBY,NER,visa required
LBY,NGA,visa on arrival
LBY,PRK,visa required
LBY,MKD,visa required
LBY,NOR,visa required
LBY,OMN,e-visa
LBY,PAK,e-visa
LBY,PLW,visa on arrival (30)
LBY,PSE,visa free
LBY,PAN,visa required
LBY,PNG,e-visa
LBY,PRY,visa required
LBY,PER,visa required
LBY,PHL,visa required
LBY,POL,visa required
LBY,PRT,visa required
LBY,QAT,visa required
LBY,ROU,visa required
LBY,RUS,visa required
LBY,RWA,-1
LBY,KNA,e-visa
LBY,LCA,visa required
LBY,WSM,visa on arrival (90)
LBY,SMR,visa required
LBY,STP,e-visa
LBY,SAU,visa required
LBY,SEN,visa on arrival (30)
LBY,SRB,visa required
LBY,SLE,e-visa
LBY,SGP,e-visa
LBY,SVK,visa required
LBY,SVN,visa required
LBY,SLB,visa required
LBY,SOM,visa required
LBY,ZAF,visa required
LBY,KOR,e-visa
LBY,SSD,e-visa
LBY,ESP,visa required
LBY,LKA,e-visa (30)
LBY,VCT,-1
LBY,SDN,visa required
LBY,SUR,visa required (90)
LBY,SWE,visa required
LBY,CHE,visa required
LBY,SYR,visa required
LBY,TWN,visa required
LBY,TJK,e-visa
LBY,TZA,visa on arrival
LBY,THA,e-visa
LBY,TLS,visa on arrival (30)
LBY,TGO,visa on arrival (15)
LBY,TON,visa required
LBY,TTO,visa required
LBY,TUN,-1
LBY,TKM,visa required
LBY,TUV,visa on arrival (30)
LBY,TUR,visa required
LBY,UGA,e-visa
LBY,UKR,visa required
LBY,ARE,visa required
LBY,GBR,visa required
LBY,USA,visa required
LBY,URY,visa required
LBY,UZB,e-visa
LBY,VUT,visa required
LBY,VAT,visa required
LBY,VEN,visa required
LBY,VNM,e-visa (90)
LBY,YEM,visa required
LBY,ZMB,e-visa
LBY,ZWE,e-visa
LBY,AFG,visa required
LBY,DMA,-1
LBY,HTI,-1
LBY,SYC,-1
LIE,ALB,-1
LIE,DZA,visa required
LIE,AND,visa free
LIE,AGO,visa required
LIE,ATG,-1
LIE,ARG,-1
LIE,ARM,-1
LIE,AUS,e-visa (90)
LIE,AUT,visa free
LIE,AZE,e-visa (30)
LIE,BHS,-1
LIE,BHR,visa on arrival (30)
LIE,BGD,visa on arrival (30)
LIE,BRB,-1
LIE,BLR,-1
LIE,BEL,visa free
LIE,BLZ,visa free
LIE,BEN,e-visa
LIE,BTN,e-visa
LIE,BOL,-1
LIE,BIH,-1
LIE,BWA,-1
LIE,BRA,-1
LIE,BRN,-1
LIE,BGR,visa free
LIE,BFA,visa on arrival (90)
LIE,BDI,visa on arrival (30)
LIE,KHM,visa on arrival (30)
LIE,CMR,e-visa
LIE,CAN,e-visa (180)
LIE,CPV,-1
LIE,CAF,visa required
LIE,TCD,visa required
LIE,CHL,-1
LIE,CHN,visa required
LIE,COL,-1
LIE,COM,visa on arrival (45)
LIE,COG,visa required
LIE,COD,e-visa (90)
LIE,CRI,-1
LIE,CIV,e-visa (90)
LIE,HRV,visa free
LIE,CUB,visa required (90)
LIE,CYP,visa free
LIE,CZE,visa free
LIE,DNK,visa free
LIE,DJI,visa on arrival (90)
LIE,DOM,visa free
LIE,ECU,-1
LIE,EGY,visa on arrival (30)
LIE,SLV,-1
LIE,GNQ,e-visa
LIE,ERI,visa required
LIE,EST,visa free
LIE,SWZ,-1
LIE,ETH,visa on arrival (90)
LIE,FJI,-1
LIE,FIN,visa free
LIE,FRA,visa free
LIE,GAB,e-visa (90)
LIE,GMB,-1
LIE,GEO,-1
LIE,DEU,visa free
LIE,GHA,visa required
LIE,GRC,visa free
LIE,GRD,-1
LIE,GTM,-1
LIE,GIN,e-visa (90)
LIE,GNB,visa on arrival (90)
LIE,GUY,visa required
LIE,HND,-1
LIE,HKG,-1
LIE,HUN,visa free
LIE,ISL,visa free
LIE,IND,e-visa (30)
LIE,IDN,visa on arrival (30)
LIE,IRN,visa on arrival (30)
LIE,IRQ,visa required
LIE,IRL,visa free
LIE,ISR,-1
LIE,ITA,visa free
LIE,JAM,-1
LIE,JPN,-1
LIE,JOR,visa on arrival
LIE,KAZ,-1
LIE,KEN,e-visa (90)
LIE,KIR,-1
LIE,XKX,-1
LIE,KWT,visa on arrival (90)
LIE,KGZ,-1
LIE,LAO,visa on arrival (30)
LIE,LVA,visa free
LIE,LBN,visa on arrival (30)
LIE,LSO,e-visa (14)
LIE,LBR,visa required
LIE,LBY,e-visa
LIE,LIE,-1
LIE,LTU,visa free
LIE,LUX,visa free
LIE,MAC,-1
LIE,MDG,visa on arrival (90)
LIE,MWI,visa on arrival (30)
LIE,MYS,-1
LIE,MDV,visa on arrival (30)
LIE,MLI,visa required
LIE,MLT,visa free
LIE,MHL,visa required
LIE,MRT,visa on arrival
LIE,MUS,-1
LIE,MEX,-1
LIE,MDA,-1
LIE,MCO,visa free
LIE,MNG,-1
LIE,MNE,-1
LIE,MAR,-1
LIE,MOZ,visa on arrival (30)
LIE,MMR,visa required
LIE,NAM,-1
LIE,NRU,visa required
LIE,NPL,visa on arrival (150)
LIE,NLD,visa free
LIE,NZL,e-visa (90)
LIE,NIC,-1
LIE,NER,visa required
LIE,NGA,e-visa
LIE,PRK,visa required
LIE,MKD,-1
LIE,NOR,visa free
LIE,OMN,visa on arrival (30)
LIE,PAK,e-visa
LIE,PLW,visa on arrival (30)
LIE,PSE,visa free
LIE,PAN,-1
LIE,PNG,e-visa (60)
LIE,PRY,-1
LIE,PER,-1
LIE,PHL,-1
LIE,POL,visa free
LIE,PRT,visa free
LIE,QAT,visa on arrival (90)
LIE,ROU,visa free
LIE,RUS,e-visa (15)
LIE,RWA,visa on arrival (30)
LIE,KNA,-1
LIE,LCA,-1
LIE,WSM,visa on arrival (90)
LIE,SMR,visa free
LIE,STP,-1
LIE,SAU,visa on arrival (90)
LIE,SEN,visa on arrival (30)
LIE,SRB,-1
LIE,SLE,visa on arrival (30)
LIE,SGP,-1
LIE,SVK,visa free
LIE,SVN,visa free
LIE,SLB,-1
LIE,SOM,visa on arrival (30)
LIE,ZAF,-1
LIE,KOR,-1
LIE,SSD,e-visa
LIE,ESP,visa free
LIE,LKA,e-visa (30)
LIE,VCT,-1
LIE,SDN,visa required
LIE,SUR,visa required (90)
LIE,SWE,visa free
LIE,CHE,visa free
LIE,SYR,visa required
LIE,TWN,-1
LIE,TJK,-1
LIE,TZA,visa on arrival
LIE,THA,-1
LIE,TLS,-1
LIE,TGO,visa on arrival (15)
LIE,TON,-1
LIE,TTO,-1
LIE,TUN,-1
LIE,TKM,visa required
LIE,TUV,-1
LIE,TUR,-1
LIE,UGA,e-visa
LIE,UKR,-1
LIE,ARE,-1
LIE,GBR,-1
LIE,USA,e-visa (90)
LIE,URY,-1
LIE,UZB,-1
LIE,VUT,-1
LIE,VAT,visa free
LIE,VEN,-1
LIE,VNM,e-visa (90)
LIE,YEM,visa required
LIE,ZMB,visa on arrival (90)
LIE,ZWE,visa on arrival (90)
LIE,AFG,visa required
LIE,DMA,-1
LIE,HTI,-1
LIE,SYC,-1
LTU,ALB,-1
LTU,DZA,visa required
LTU,AND,visa free
