Passport,ALB,DZA,AND,AGO,ATG,ARG,ARM,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CAF,TCD,CHL,CHN,COL,COM,COG,COD,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DOM,ECU,EGY,SLV,GNQ,ERI,EST,SWZ,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GRC,GRD,GTM,GIN,GNB,GUY,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,XKX,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,MDA,MCO,MNG,MNE,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,NZL,NIC,NER,NGA,PRK,MKD,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROU,RUS,RWA,KNA,LCA,WSM,SMR,STP,SAU,SEN,SRB,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,KOR,SSD,ESP,LKA,VCT,SDN,SUR,SWE,CHE,SYR,TWN,TJK,TZA,THA,TLS,TGO,TON,TTO,TUN,TKM,TUV,TUR,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VAT,VEN,VNM,YEM,ZMB,ZWE,AFG,DMA,HTI,SYC
RUS,e-visa,visa required,visa required,-1,-1,-1,-1,e-visa,visa required,-1,-1,visa on arrival (30),visa on arrival (30),-1,visa free,visa required,visa required,e-visa,e-visa,-1,-1,-1,-1,-1,visa required,e-visa,visa on arrival (30),visa on arrival (30),e-visa,visa required,-1,visa required,visa required,-1,visa required,-1,visa on arrival (45),visa required,e-visa (90),-1,e-visa (90),visa required,-1,visa required,visa required,visa required,e-visa (90),visa free,-1,visa on arrival (30),-1,e-visa,visa required,visa required,-1,visa on arrival (90),-1,visa required,visa required,-1,-1,-1,visa required,visa required,visa required,-1,-1,e-visa (90),visa on arrival (90),-1,-1,-1,visa required,visa required,e-visa (30),visa on arrival (30),e-visa (30),visa on arrival (60),visa required,-1,visa required,-1,visa required,visa on arrival,-1,e-visa (90),-1,visa required,visa required,visa free,-1,visa required,visa on arrival (30),e-visa (14),visa required,visa required,visa required,visa required,visa required,-1,visa on arrival (90),e-visa (90),-1,-1,visa required,visa required,visa on arrival (90),visa on arrival,-1,e-visa (180),-1,visa required,-1,-1,-1,-1,-1,-1,visa on arrival,visa on arrival (150),visa required,visa required,-1,visa required,e-visa,visa required,visa required,visa required,visa on arrival (30),e-visa (30),-1,visa free,-1,e-visa (30),-1,-1,-1,visa required,visa required,visa on arrival (30),visa required,-1,visa on arrival (30),-1,-1,-1,visa required,-1,visa on arrival (90),visa on arrival (30),-1,visa on arrival (30),e-visa,visa required,visa required,visa required,visa on arrival (30),-1,e-visa (60),e-visa,visa required,visa on arrival (30),-1,visa required,visa required (90),visa required,visa required,visa required,visa required,visa free,visa on arrival,-1,visa on arrival (30),visa on arrival (15),visa on arrival (31),-1,-1,visa required,visa on arrival (30),-1,e-visa,visa required,-1,visa required,visa required,-1,visa free,-1,visa required,-1,-1,visa required,visa on arrival (90),visa on arrival (90),visa required,-1,-1,-1
RWA,e-visa,visa required,visa required,-1,e-visa,visa required,visa required,e-visa,visa required,visa required,e-visa,e-visa,visa on arrival (30),-1,visa required,visa required,visa required,-1,e-visa,visa on arrival (90),visa required,e-visa,visa required,visa required,visa required,e-visa,-1,visa on arrival (30),e-visa,visa required,visa on arrival,-1,-1,visa required,visa required,e-visa,visa on arrival (45),visa on arrival,visa free,visa required,e-visa (90),visa required,visa required (30),visa required,visa required,visa required,e-visa (90),visa required,-1,visa required,e-visa,e-visa,visa required,visa required,visa required,visa on arrival (90),visa required,visa required,visa required,e-visa (90),-1,e-visa,visa required,-1,visa required,-1,visa required,visa free,visa on arrival (90),visa required,visa required,e-visa,visa required,visa required,e-visa (30),visa on arrival (30),e-visa (30),visa required,visa required,visa required,visa required,visa required,visa required,visa on arrival,e-visa,visa free,-1,visa required,visa required,e-visa,visa on arrival (30),visa required,visa required,e-visa (14),visa required,visa required,visa required,visa required,visa required,visa on arrival (30),visa on arrival (90),e-visa (90),e-visa (14),visa on arrival (30),visa on arrival (90),visa required,visa required,visa on arrival,-1,visa required,e-visa,visa required,e-visa,visa required,visa required,visa on arrival (30),visa required,visa on arrival (90),visa required,visa on arrival (150),visa required,visa required,visa on arrival (30),visa required,visa on arrival,visa required,visa required,visa required,e-visa,e-visa (30),visa on arrival (30),visa free,visa required,e-visa (30),visa required,visa required,-1,visa required,visa required,visa on arrival (30),visa required,visa required,-1,e-visa,visa required,visa on arrival (90),visa required,-1,visa required,-1,visa required,visa on arrival (30),-1,visa required,visa required,visa required,visa required,visa required,e-visa,visa on arrival,visa required,e-visa (30),-1,visa required,visa required (90),visa required,visa required,visa required,visa required,e-visa,-1,visa required,visa on arrival (30),visa on arrival (15),visa required,visa required,visa required,visa required,visa on arrival (30),visa required,-1,visa required,visa required,visa required,visa required,visa required,e-visa,-1,visa required,visa required,e-visa (90),visa required,visa on arrival (90),visa on arrival (90),visa required,-1,-1,-1
KNA,-1,visa required,-1,-1,visa free,-1,e-visa (120),e-visa,-1,visa required,-1,e-visa,-1,-1,-1,-1,visa free,e-visa,e-visa,visa on arrival (90),-1,-1,-1,visa required,-1,e-visa,visa on arrival (30),visa on arrival (30),e-visa,visa required,visa on arrival,visa required,visa required,-1,visa required,-1,visa on arrival (45),visa required,e-visa (90),-1,e-visa (90),-1,-1,-1,-1,-1,e-visa (90),visa free,-1,visa required,-1,e-visa,visa required,-1,visa required,e-visa (90),-1,-1,-1,e-visa (90),-1,e-visa,-1,visa required,-1,visa free,-1,e-visa (90),visa on arrival (90),-1,-1,-1,-1,-1,e-visa (30),e-visa,e-visa (30),visa required,-1,-1,-1,visa free,visa required,visa on arrival,e-visa,e-visa (90),-1,-1,visa required,e-visa,visa on arrival (30),-1,visa on arrival (30),-1,visa required,visa required,-1,-1,-1,visa on arrival (30),visa on arrival (90),-1,-1,visa on arrival (30),visa required,-1,visa required,visa on arrival,-1,visa required,-1,-1,e-visa,-1,visa required,visa on arrival (30),visa required,visa required,visa required,visa on arrival (150),-1,visa required,-1,visa required,e-visa,visa required,-1,-1,e-visa,e-visa (30),visa on arrival (30),visa free,-1,e-visa (30),visa required,-1,-1,-1,-1,visa required,-1,-1,-1,-1,visa free,visa on arrival (90),-1,e-visa,visa on arrival (90),visa on arrival (30),-1,visa on arrival (30),-1,-1,-1,visa on arrival (90),visa required,visa required,e-visa (90),e-visa,-1,e-visa (30),visa free,visa required,-1,-1,-1,visa required,-1,e-visa,-1,e-visa,visa on arrival (30),visa on arrival (15),visa on arrival (31),visa free,-1,visa required,visa on arrival (30),-1,e-visa,-1,visa required,-1,visa required,-1,-1,-1,-1,-1,e-visa (90),visa required,-1,-1,visa required,visa free,-1,-1
LCA,e-visa,visa required,-1,-1,visa free,-1,e-visa (120),e-visa,-1,visa required,-1,e-visa,visa on arrival (30),-1,visa required,-1,visa free,e-visa,e-visa,visa on arrival (90),-1,-1,visa required,visa required,-1,e-visa,visa on arrival (30),visa on arrival (30),e-visa,visa required,visa on arrival,visa required,visa required,-1,visa required,-1,visa on arrival (45),visa required,e-visa (90),-1,e-visa (90),-1,-1,-1,-1,-1,e-visa (90),visa free,-1,visa on arrival (30),-1,e-visa,visa required,-1,-1,e-visa (90),-1,-1,-1,e-visa (90),-1,e-visa,-1,visa required,-1,visa free,-1,e-visa (90),visa on arrival (90),-1,-1,-1,-1,-1,e-visa (30),e-visa,e-visa (30),visa required,-1,-1,-1,visa free,visa required,visa on arrival,e-visa,e-visa (90),-1,-1,visa required,e-visa,visa on arrival (30),-1,visa required,-1,visa required,visa required,-1,-1,-1,visa on arrival (30),visa on arrival (90),-1,-1,visa on arrival (30),visa required,-1,visa required,visa on arrival,-1,visa required,-1,-1,e-visa,-1,visa required,visa on arrival (30),visa required,visa required,visa required,visa on arrival (150),-1,visa required,-1,visa required,e-visa,visa required,visa required,-1,e-visa,e-visa (30),visa on arrival (30),visa free,-1,e-visa (30),visa required,-1,-1,-1,-1,visa required,-1,visa required,-1,visa free,-1,visa on arrival (90),-1,e-visa,visa required,visa on arrival (30),visa required,visa on arrival (30),-1,-1,-1,visa on arrival (90),visa required,visa required,e-visa (90),e-visa,-1,e-visa (30),visa free,visa required,-1,-1,-1,visa required,-1,e-visa,-1,e-visa,visa on arrival (30),visa on arrival (15),visa on arrival (31),visa free,-1,visa required,visa on arrival (30),visa on arrival (90),e-visa,visa required,visa required,-1,visa required,visa required,-1,-1,-1,-1,e-visa (90),visa required,-1,-1,visa required,visa free,-1,-1
WSM,e-visa,visa required,-1,-1,-1,visa required,visa required,e-visa,-1,visa required,-1,e-visa,-1,-1,visa required,-1,visa free,e-visa,e-visa,visa on arrival (90),-1,-1,visa required,visa required,-1,e-visa,visa on arrival (30),visa on arrival (30),e-visa,e-visa (180),visa on arrival,visa required,visa required,visa required,visa required,-1,visa on arrival (45),visa required,e-visa (90),-1,e-visa (90),-1,visa required (30),-1,-1,-1,e-visa (90),visa required,-1,visa on arrival (30),e-visa,e-visa,visa required,-1,-1,e-visa (90),-1,-1,-1,e-visa (90),-1,e-visa,-1,visa required,-1,-1,visa required,e-visa (90),visa on arrival (90),visa required,visa required,-1,-1,-1,e-visa (30),e-visa,e-visa (30),visa required,-1,visa required,-1,visa free,visa required,visa on arrival,e-visa,e-visa (90),-1,-1,visa required,e-visa,visa on arrival (30),-1,visa on arrival (30),-1,visa required,visa required,-1,-1,-1,-1,visa on arrival (90),-1,-1,visa on arrival (30),visa required,-1,visa on arrival (90),visa on arrival,-1,visa required,-1,-1,e-visa,-1,visa required,visa on arrival (30),visa required,visa required,visa on arrival,visa on arrival (150),-1,visa required,visa on arrival (30),visa required,e-visa,visa required,visa required,-1,e-visa,-1,visa on arrival (30),visa free,-1,e-visa (60),visa required,-1,-1,-1,-1,visa required,-1,-1,-1,e-visa,-1,-1,-1,e-visa,visa required,visa on arrival (30),visa required,visa on arrival (30),-1,-1,-1,visa on arrival (90),visa required,visa required,-1,e-visa,-1,e-visa (30),-1,visa required,visa required (90),-1,-1,visa required,visa required,e-visa,-1,visa required,visa on arrival (30),visa on arrival (15),visa on arrival (31),visa free,visa required,visa required,visa on arrival (30),visa required,e-visa,visa required,visa required,-1,visa required,visa required,e-visa (30),-1,-1,visa required,e-visa (90),visa required,-1,-1,visa required,-1,-1,-1
SMR,-1,visa required,-1,visa required,-1,-1,-1,e-visa (90),-1,e-visa (30),-1,visa on arrival (30),visa on arrival (30),-1,-1,-1,-1,e-visa,e-visa,visa on arrival (90),-1,-1,-1,visa required,-1,e-visa,visa on arrival (30),visa on arrival (30),e-visa,e-visa (180),-1,visa required,visa required,-1,-1,-1,visa on arrival (45),visa required,e-visa (90),-1,e-visa (90),-1,visa required (30),-1,-1,-1,e-visa (90),visa free,-1,visa on arrival (30),-1,e-visa,visa required,-1,-1,e-visa (90),visa required,-1,-1,e-visa (90),-1,-1,-1,visa required,-1,-1,-1,e-visa (90),visa on arrival (90),visa required,-1,-1,-1,-1,e-visa (30),visa on arrival (30),e-visa (30),visa required,-1,-1,-1,-1,-1,visa on arrival,e-visa,e-visa (90),visa required,-1,visa on arrival (90),-1,visa on arrival (30),-1,visa on arrival (30),-1,visa required,visa required,-1,-1,-1,-1,visa on arrival (90),visa on arrival (30),-1,visa on arrival (30),visa required,-1,visa required,visa on arrival,-1,-1,-1,-1,e-visa,-1,-1,visa on arrival (30),visa required,visa required,visa required,visa on arrival (150),-1,e-visa (90),-1,visa required,e-visa,visa required,-1,-1,visa on arrival (30),e-visa,visa on arrival (30),visa free,-1,e-visa (60),visa required,-1,-1,-1,-1,visa on arrival (30),-1,e-visa (15),visa on arrival (30),e-visa,-1,visa on arrival (90),-1,-1,visa on arrival (90),visa on arrival (30),-1,e-visa,-1,-1,-1,visa on arrival (90),visa on arrival (30),-1,-1,e-visa,-1,e-visa (30),-1,visa required,visa required (90),-1,-1,visa required,-1,e-visa,visa on arrival,-1,visa on arrival (30),visa on arrival (15),visa required,visa required,-1,visa required,visa on arrival (30),-1,e-visa,-1,-1,-1,e-visa (90),-1,-1,-1,-1,-1,e-visa (90),visa required,visa on arrival (90),visa on arrival (90),visa required,-1,-1,-1
STP,e-visa,visa required,visa required,e-visa,e-visa,visa required,visa required,e-visa,visa required,visa required,-1,e-visa,visa on arrival (30),-1,visa required,visa required,visa required,-1,e-visa,visa on arrival (90),visa required,e-visa,visa required,visa required,visa required,visa on arrival (90),visa on arrival (30),visa on arrival (30),e-visa,visa required,visa on arrival,visa required,visa required,visa required,visa required,e-visa,visa on arrival (45),visa required,e-visa (90),-1,e-visa (90),visa required,visa required (30),visa required,visa required,visa required,e-visa (90),visa required,-1,visa on arrival (30),-1,e-visa,visa required,visa required,visa required,visa on arrival (90),visa required,visa required,visa required,e-visa (90),-1,e-visa,visa required,visa on arrival (30),visa required,visa required,-1,e-visa (90),visa on arrival (90),visa required,-1,-1,visa required,visa required,visa required,e-visa,e-visa (30),visa required,visa required,visa required,visa required,visa required,visa required,visa on arrival,e-visa,e-visa (90),visa required,-1,visa required,e-visa,visa on arrival (30),visa required,visa required,e-visa (14),visa required,visa required,visa required,visa required,visa required,visa on arrival (30),visa on arrival (90),visa on arrival (30),-1,visa on arrival (30),visa required,visa required,visa required,visa on arrival,visa on arrival (60),visa required,e-visa,visa required,e-visa,visa required,visa required,visa on arrival (30),visa required,visa on arrival (90),visa required,visa on arrival (150),visa required,visa required,-1,visa required,visa on arrival,visa required,visa required,visa required,e-visa,e-visa,visa on arrival (30),visa free,-1,visa required,visa required,visa required,-1,visa required,visa required,visa required,visa required,visa required,-1,e-visa,visa on arrival (42),visa on arrival (90),visa required,-1,visa required,visa required,visa required,e-visa,-1,visa required,visa required,visa required,visa required,-1,e-visa,e-visa,visa required,e-visa (30),-1,visa required,visa required (90),visa required,visa required,visa required,visa required,e-visa,visa on arrival,visa required,visa on arrival (30),visa on arrival (15),visa required,visa required,visa required,visa required,visa on arrival (30),visa required,e-visa,visa required,visa required,visa required,visa required,visa required,e-visa,visa required,visa required,visa required,e-visa (90),visa required,visa on arrival (90),visa on arrival (90),visa required,-1,-1,-1
SAU,e-visa,visa required,visa required,-1,e-visa,visa required,e-visa (120),e-visa,visa required,visa on arrival (30),e-visa,visa free,visa on arrival (30),-1,-1,visa required,visa required,e-visa,e-visa,visa on arrival (90),visa required,-1,visa required,visa on arrival (30),visa required,e-visa,visa on arrival (30),visa on arrival (30),e-visa,visa required,visa on arrival,visa required,visa required,visa required,visa required,e-visa,visa on arrival (45),visa required,e-visa (90),visa required,e-visa (90),visa required,visa required (30),visa required,visa required,visa required,e-visa (90),visa required,-1,-1,-1,e-visa,visa required,visa required,visa required,visa on arrival (90),visa required,visa required,visa required,-1,visa required,-1,visa required,visa required,visa required,visa required,-1,e-visa (90),visa on arrival (90),visa required,-1,-1,visa required,visa required,e-visa (30),visa on arrival (30),e-visa (30),visa on arrival (30),visa required,visa required,visa required,visa required,e-visa,-1,-1,e-visa (90),-1,-1,visa free,-1,visa on arrival (30),visa required,-1,e-visa (14),visa required,visa required,visa required,visa required,visa required,visa on arrival (30),visa on arrival (90),visa on arrival (30),-1,visa on arrival (30),visa required,visa required,visa required,visa on arrival,-1,visa required,e-visa,visa required,e-visa,visa required,-1,-1,e-visa,visa required,visa required,visa on arrival (150),visa required,e-visa (90),-1,visa required,e-visa,visa required,visa required,visa required,visa free,e-visa (30),visa on arrival (30),visa free,-1,visa required,visa required,visa required,-1,visa required,visa required,visa free,visa required,e-visa (15),visa on arrival (30),-1,visa required,visa on arrival (90),visa required,e-visa,-1,visa required,visa required,visa on arrival (30),visa free,visa required,visa required,visa required,visa on arrival (30),-1,-1,e-visa,visa required,e-visa (30),-1,visa required,visa required (90),visa required,visa required,visa free,e-visa (30),-1,visa on arrival,-1,visa on arrival (30),visa on arrival (15),visa required,visa required,-1,visa required,visa on arrival (30),-1,e-visa,-1,visa free,e-visa (180),visa required,visa required,-1,-1,visa required,visa required,e-visa (90),visa on arrival (90),-1,e-visa,visa required,-1,-1,-1
SEN,e-visa,visa required,visa required,visa required,e-visa,visa required,visa required,e-visa,visa required,visa required,e-visa,e-visa,visa on arrival (30),-1,visa required,visa required,visa required,-1,e-visa,visa on arrival (90),visa required,e-visa,visa required,visa required,visa required,visa free,visa on arrival (30),visa on arrival (30),e-visa,visa required,visa free,-1,-1,visa required,visa required,e-visa,visa on arrival (45),visa on arrival (30),e-visa (90),visa required,-1,visa required,visa required (30),visa required,visa required,visa required,e-visa (90),visa required,e-visa,visa required,e-visa,e-visa,visa required,visa required,visa required,visa on arrival (90),-1,visa required,visa required,e-visa (90),-1,e-visa,visa required,visa free,visa required,visa required,visa required,visa free,visa free,visa required,visa required,e-visa,visa required,visa required,e-visa (30),e-visa,e-visa (30),visa required,visa required,visa required,visa required,visa required,visa required,e-visa,e-visa,e-visa (90),visa required,visa required,visa required,e-visa,visa required,visa required,visa required,e-visa (14),visa free,visa required,visa required,visa required,visa required,visa on arrival (30),visa on arrival (90),e-visa (90),-1,visa on arrival (30),visa free,visa required,visa required,-1,visa on arrival (60),visa required,e-visa,visa required,e-visa,visa required,-1,-1,visa required,visa required,visa required,visa on arrival (150),visa required,visa required,visa on arrival (30),visa free,visa free,visa required,visa required,visa required,e-visa,e-visa,visa on arrival (30),visa free,visa required,visa required,visa required,visa required,-1,visa required,visa required,visa required,visa required,visa required,-1,e-visa,visa on arrival (42),visa on arrival (90),visa required,e-visa,visa required,-1,visa required,visa free,-1,visa required,visa required,visa required,visa required,e-visa,e-visa,e-visa,visa required,e-visa (30),-1,visa required,visa required (90),visa required,visa required,visa required,visa required,e-visa,e-visa,visa required,visa on arrival (30),visa free,visa required,visa required,-1,visa required,visa on arrival (30),visa required,e-visa,visa required,visa required,visa required,visa required,visa required,e-visa (30),visa required,visa required,visa required,e-visa (90),visa required,e-visa,visa on arrival (90),visa required,-1,-1,-1
SRB,-1,visa required,-1,visa required,-1,-1,-1,e-visa,-1,-1,e-visa,e-visa,visa on arrival (30),-1,-1,-1,visa required,e-visa,e-visa,visa on arrival (90),-1,e-visa,-1,visa required,-1,e-visa,visa on arrival (30),visa on arrival (30),e-visa,visa required,visa on arrival,visa required,visa required,-1,-1,-1,visa on arrival (45),visa required,e-visa (90),-1,e-visa (90),-1,-1,-1,-1,-1,e-visa (90),visa free,-1,visa on arrival (30),e-visa,e-visa,visa required,-1,-1,e-visa (90),-1,-1,-1,e-visa (90),-1,-1,-1,visa required,-1,-1,visa required,e-visa (90),visa on arrival (90),visa required,visa required,-1,-1,-1,e-visa (30),visa on arrival (30),e-visa (30),visa required,visa required,-1,-1,visa on arrival (30),-1,visa on arrival,-1,e-visa (90),visa required,-1,visa on arrival (90),-1,visa on arrival (30),-1,visa on arrival (30),e-visa (14),visa required,visa required,-1,-1,-1,-1,visa on arrival (90),e-visa (90),e-visa (30),visa on arrival (30),visa required,-1,visa required,visa on arrival,visa on arrival (60),visa required,-1,-1,-1,-1,visa required,visa on arrival (30),e-visa,visa required,visa required,visa on arrival (150),-1,visa required,visa on arrival (30),visa required,e-visa,visa required,-1,-1,visa on arrival (30),e-visa,visa on arrival (30),visa free,-1,visa required,visa required,-1,visa required,-1,-1,visa on arrival (90),-1,-1,visa on arrival (30),e-visa,visa required,visa on arrival (90),-1,e-visa,visa required,visa required,-1,e-visa,-1,-1,-1,visa required,visa required,visa required,e-visa (90),e-visa,-1,e-visa (30),-1,visa required,-1,-1,-1,visa required,visa required,e-visa,visa on arrival,e-visa,visa on arrival (30),visa on arrival (15),visa required,-1,visa required,visa required,visa on arrival (30),-1,e-visa,-1,-1,visa required,visa required,-1,-1,-1,-1,visa required,e-visa (90),visa required,-1,visa on arrival (90),visa required,-1,-1,-1
SYC,-1,-1,-1,-1,-1,visa required,visa required,e-visa,-1,e-visa (30),-1,e-visa,-1,-1,-1,-1,visa free,-1,e-visa,visa on arrival (90),-1,-1,-1,visa required,-1,e-visa,visa on arrival (30),visa on arrival (30),e-visa,visa required,visa on arrival,visa required,visa required,visa required,-1,e-visa,visa on arrival (45),visa required,e-visa (90),-1,-1,-1,visa required (30),-1,-1,-1,e-visa (90),visa free,-1,visa on arrival (30),e-visa,e-visa,visa required,-1,-1,visa on arrival (90),-1,-1,-1,e-visa (90),-1,-1,-1,-1,-1,-1,visa required,e-visa (90),visa on arrival (90),visa required,visa required,-1,-1,-1,e-visa (30),visa on arrival (30),e-visa (30),visa required,-1,visa required,-1,visa free,visa required,visa on arrival,e-visa,e-visa (90),-1,-1,visa required,e-visa,visa on arrival (30),-1,visa required,-1,visa required,visa required,-1,-1,-1,-1,visa on arrival (90),-1,-1,visa on arrival (30),visa required,-1,visa on arrival (90),visa on arrival,-1,visa required,-1,-1,e-visa,-1,visa required,visa on arrival (30),visa required,-1,visa required,visa on arrival (150),-1,e-visa (90),visa on arrival (30),visa required,-1,visa required,-1,-1,visa on arrival (30),e-visa,visa on arrival (30),visa free,-1,e-visa (30),visa required,visa required,-1,-1,-1,visa on arrival (90),-1,-1,-1,-1,-1,visa on arrival (90),-1,e-visa,visa on arrival (90),visa on arrival (30),-1,visa on arrival (30),-1,-1,-1,visa required,visa required,-1,e-visa (30),e-visa,-1,e-visa (30),-1,visa required,visa required (90),-1,-1,visa required,visa required,e-visa,-1,visa required,visa on arrival (30),visa on arrival (15),visa on arrival (31),visa free,-1,visa required,visa on arrival (30),-1,-1,visa required,-1,-1,visa required,-1,e-visa (30),-1,-1,visa required,e-visa (90),visa required,-1,-1,visa required,-1,-1,-1
SLE,e-visa,visa required,visa required,visa required,e-visa,visa required,visa required,e-visa,visa required,visa required,-1,e-visa,-1,-1,visa required,visa required,visa free,-1,e-visa,visa on arrival (90),visa required,-1,visa required,visa required,visa required,visa free,visa on arrival (30),visa on arrival (30),e-visa,visa required,visa free,visa required,visa required,visa required,visa required,e-visa,visa on arrival (45),visa required,e-visa (90),visa required,-1,visa required,visa required,visa required,visa required,visa required,e-visa (90),visa required,-1,visa required,e-visa,e-visa,visa required,visa required,-1,visa on arrival (90),-1,visa required,visa required,e-visa (90),-1,e-visa,visa required,visa free,visa required,-1,visa required,visa free,visa free,visa required,visa required,e-visa,visa required,visa required,e-visa (30),e-visa,e-visa (30),visa required,visa required,visa required,visa required,visa free,visa required,e-visa,e-visa,e-visa (90),-1,visa required,visa required,e-visa,visa required,visa required,visa required,-1,visa free,visa required,visa required,visa required,visa required,visa on arrival (30),visa on arrival (90),visa on arrival (30),-1,visa on arrival (30),visa free,visa required,visa required,visa on arrival,-1,visa required,e-visa,visa required,e-visa,visa required,visa required,visa on arrival (30),visa required,visa on arrival (90),visa required,visa on arrival (150),visa required,visa required,visa required,visa free,visa free,visa required,visa required,visa required,e-visa,e-visa,visa on arrival (30),visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,-1,-1,visa on arrival (42),visa on arrival (90),visa required,e-visa,visa required,-1,visa required,-1,-1,visa required,visa required,visa required,visa required,visa required,e-visa,e-visa,visa required,e-visa (30),-1,visa required,visa required (90),visa required,visa required,visa required,visa required,e-visa,e-visa,visa required,visa on arrival (30),visa free,visa required,visa free,visa required,visa required,visa on arrival (30),visa required,-1,visa required,visa required,visa required,visa required,visa required,e-visa,-1,visa required,visa required,e-visa (90),visa required,e-visa,e-visa,visa required,-1,-1,-1
SGP,-1,visa required,-1,-1,-1,-1,-1,e-visa (90),-1,visa on arrival (30),-1,visa on arrival (30),visa on arrival (30),-1,-1,-1,visa free,e-visa,e-visa,visa on arrival (90),-1,-1,-1,-1,-1,-1,visa on arrival (30),-1,e-visa,e-visa (180),-1,visa required,visa required,-1,-1,-1,visa on arrival (45),visa required,e-visa (90),-1,-1,-1,-1,-1,-1,-1,visa free,visa free,-1,visa on arrival (30),-1,e-visa,visa required,-1,-1,visa on arrival (90),-1,-1,-1,e-visa (90),-1,-1,-1,-1,-1,-1,-1,-1,visa on arrival (90),-1,-1,-1,-1,-1,e-visa (30),-1,e-visa (30),visa required,-1,-1,-1,visa free,-1,visa on arrival,-1,e-visa (90),-1,-1,visa on arrival (90),-1,-1,-1,visa on arrival (30),-1,visa required,visa required,-1,visa free,-1,-1,visa on arrival (90),visa on arrival (30),-1,visa on arrival (30),visa required,-1,visa on arrival (90),visa on arrival,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,visa required,visa on arrival (150),-1,e-visa (90),-1,visa required,e-visa,visa required,-1,-1,visa on arrival (30),e-visa (30),visa on arrival (30),visa free,-1,e-visa (60),-1,-1,-1,-1,-1,visa on arrival (30),-1,e-visa (15),-1,-1,-1,visa on arrival (90),-1,e-visa,visa on arrival (90),-1,-1,visa on arrival (30),-1,-1,-1,visa on arrival (90),visa required,-1,-1,e-visa,-1,e-visa (30),-1,visa required,visa required (90),-1,-1,visa required,-1,-1,-1,-1,visa on arrival (30),visa on arrival (15),visa on arrival (31),visa free,-1,visa required,visa on arrival (30),-1,-1,visa required,-1,-1,e-visa (90),-1,-1,-1,-1,visa required,-1,visa required,-1,-1,visa required,-1,-1,-1
SVK,-1,visa required,visa free,-1,-1,-1,-1,e-visa (90),visa free,e-visa (30),-1,visa on arrival (30),visa on arrival (30),-1,-1,visa free,visa free,e-visa,e-visa,-1,-1,-1,-1,-1,visa free,visa on arrival (90),visa on arrival (30),visa on arrival (30),e-visa,e-visa (180),-1,visa required,visa required,-1,visa required,-1,visa on arrival (45),visa required,e-visa (90),-1,e-visa (90),visa free,visa required (30),visa free,visa free,visa free,e-visa (90),visa free,-1,visa on arrival (30),-1,e-visa,visa required,visa free,-1,visa on arrival (90),-1,visa free,visa free,-1,-1,-1,visa free,visa required,visa free,-1,-1,e-visa (90),visa on arrival (90),visa required,-1,-1,visa free,visa free,e-visa (30),visa on arrival (30),e-visa (30),visa on arrival (60),visa free,-1,visa free,-1,-1,visa on arrival,-1,e-visa (90),-1,-1,visa on arrival (90),-1,visa on arrival (30),visa free,visa on arrival (30),e-visa (14),visa required,visa required,visa free,visa free,visa free,-1,visa on arrival (90),visa on arrival (30),-1,visa on arrival (30),visa required,visa free,-1,visa on arrival,-1,-1,-1,visa free,-1,-1,-1,visa on arrival (30),e-visa,visa on arrival (90),visa required,visa on arrival (150),visa free,e-visa (90),-1,visa required,e-visa,visa required,-1,visa free,visa on arrival (30),e-visa,-1,visa free,-1,e-visa (60),-1,-1,-1,visa free,visa free,visa on arrival (90),visa free,e-visa (15),visa on arrival (30),-1,-1,-1,visa free,-1,visa on arrival (90),-1,-1,visa on arrival (30),-1,-1,visa free,-1,visa on arrival (30),e-visa,-1,e-visa,visa free,e-visa (30),-1,visa required,visa required (90),visa free,visa free,visa required,-1,visa on arrival (45),visa on arrival,-1,-1,visa on arrival (15),-1,-1,-1,visa required,-1,-1,e-visa,-1,-1,-1,e-visa (90),-1,-1,-1,visa free,-1,e-visa (90),visa required,-1,visa on arrival (90),visa required,-1,-1,-1
